15	10	E	-7498978.913817789	200
emissionprobs	7	6	H3k4me2	1	0.977114491367774
emissionprobs	7	7	H3k4me3	0	0.0596824939974222
emissionprobs	7	7	H3k4me3	1	0.9403175060025778
emissionprobs	7	8	H3k79me2	0	0.9224101406204926
emissionprobs	7	8	H3k79me2	1	0.0775898593795073
emissionprobs	7	9	H3k9ac	0	0.5423065136046334
emissionprobs	7	9	H3k9ac	1	0.45769348639536656
emissionprobs	8	0	H2afz	0	0.9719848568537583
emissionprobs	8	0	H2afz	1	0.028015143146241657
emissionprobs	8	1	H3k04me1	0	0.41217746274893613
emissionprobs	8	1	H3k04me1	1	0.5878225372510638
emissionprobs	8	2	H3k09me3	0	0.9920994263163365
emissionprobs	8	2	H3k09me3	1	0.007900573683663401
emissionprobs	8	3	H3k27ac	0	0.6046879962705046
emissionprobs	8	3	H3k27ac	1	0.3953120037294953
emissionprobs	8	4	H3k27me3	0	0.9953593636527533
emissionprobs	8	4	H3k27me3	1	0.004640636347246582
emissionprobs	8	5	H3k36me3	0	0.8127039530205483
emissionprobs	8	5	H3k36me3	1	0.1872960469794517
emissionprobs	8	6	H3k4me2	0	0.0019040367383277106
emissionprobs	8	6	H3k4me2	1	0.9980959632616723
emissionprobs	8	7	H3k4me3	0	0.09012348369709619
emissionprobs	8	7	H3k4me3	1	0.9098765163029039
emissionprobs	8	8	H3k79me2	0	0.08753509926386321
emissionprobs	8	8	H3k79me2	1	0.9124649007361367
emissionprobs	8	9	H3k9ac	0	0.459027855226648
emissionprobs	8	9	H3k9ac	1	0.540972144773352
emissionprobs	9	0	H2afz	0	0.9957251757721218
emissionprobs	9	0	H2afz	1	0.0042748242278780645
emissionprobs	9	1	H3k04me1	0	0.5194080315357716
emissionprobs	9	1	H3k04me1	1	0.4805919684642283
emissionprobs	9	2	H3k09me3	0	0.9888523001384759
emissionprobs	9	2	H3k09me3	1	0.0111476998615241
emissionprobs	9	3	H3k27ac	0	0.8957986489399073
emissionprobs	9	3	H3k27ac	1	0.10420135106009257
emissionprobs	9	4	H3k27me3	0	0.9966201749095512
emissionprobs	9	4	H3k27me3	1	0.0033798250904486823
emissionprobs	9	5	H3k36me3	0	0.7037104790308061
emissionprobs	9	5	H3k36me3	1	0.2962895209691938
emissionprobs	9	6	H3k4me2	0	0.571361410666363
emissionprobs	9	6	H3k4me2	1	0.42863858933363697
emissionprobs	9	7	H3k4me3	0	0.9529029772770415
emissionprobs	9	7	H3k4me3	1	0.047097022722958404
emissionprobs	9	8	H3k79me2	0	0.256260009082399
emissionprobs	9	8	H3k79me2	1	0.7437399909176009
emissionprobs	9	9	H3k9ac	0	0.9375765159641201
emissionprobs	9	9	H3k9ac	1	0.062423484035879974
emissionprobs	10	0	H2afz	0	0.9994152885290233
emissionprobs	10	0	H2afz	1	5.847114709767818E-4
emissionprobs	10	1	H3k04me1	0	0.9777593761570187
emissionprobs	10	1	H3k04me1	1	0.02224062384298138
emissionprobs	10	2	H3k09me3	0	0.9932692679333123
emissionprobs	10	2	H3k09me3	1	0.006730732066687676
emissionprobs	10	3	H3k27ac	0	0.9985075653538528
emissionprobs	10	3	H3k27ac	1	0.0014924346461472574
emissionprobs	10	4	H3k27me3	0	0.9991297211143281
emissionprobs	10	4	H3k27me3	1	8.702788856719479E-4
emissionprobs	10	5	H3k36me3	0	0.8869423864721319
emissionprobs	10	5	H3k36me3	1	0.11305761352786814
emissionprobs	10	6	H3k4me2	0	0.9964915876675368
emissionprobs	10	6	H3k4me2	1	0.003508412332463319
emissionprobs	10	7	H3k4me3	0	0.9991111552265943
emissionprobs	10	7	H3k4me3	1	8.888447734056555E-4
emissionprobs	10	8	H3k79me2	0	0.4083115464027311
emissionprobs	10	8	H3k79me2	1	0.5916884535972688
emissionprobs	10	9	H3k9ac	0	0.9932240151342185
emissionprobs	10	9	H3k9ac	1	0.00677598486578144
emissionprobs	11	0	H2afz	0	0.9993302383642273
emissionprobs	11	0	H2afz	1	6.697616357726719E-4
emissionprobs	11	1	H3k04me1	0	0.9979964536645368
emissionprobs	11	1	H3k04me1	1	0.002003546335463275
emissionprobs	11	2	H3k09me3	0	0.9979535098199919
emissionprobs	11	2	H3k09me3	1	0.002046490180008137
emissionprobs	11	3	H3k27ac	0	0.9991306191937976
emissionprobs	11	3	H3k27ac	1	8.693808062022877E-4
emissionprobs	11	4	H3k27me3	0	0.999272388401952
emissionprobs	11	4	H3k27me3	1	7.276115980480903E-4
emissionprobs	11	5	H3k36me3	0	0.9588941963680556
emissionprobs	11	5	H3k36me3	1	0.04110580363194433
emissionprobs	11	6	H3k4me2	0	0.9994344357327769
emissionprobs	11	6	H3k4me2	1	5.655642672231869E-4
emissionprobs	11	7	H3k4me3	0	0.9995089661906377
emissionprobs	11	7	H3k4me3	1	4.910338093624084E-4
emissionprobs	11	8	H3k79me2	0	0.9635137873404842
emissionprobs	11	8	H3k79me2	1	0.03648621265951579
emissionprobs	11	9	H3k9ac	0	0.9940357162490921
emissionprobs	11	9	H3k9ac	1	0.005964283750907878
emissionprobs	12	0	H2afz	0	0.9985750276488708
emissionprobs	12	0	H2afz	1	0.0014249723511291078
emissionprobs	12	1	H3k04me1	0	0.9924877507686751
emissionprobs	12	1	H3k04me1	1	0.007512249231324887
emissionprobs	12	2	H3k09me3	0	0.9902407674780261
emissionprobs	12	2	H3k09me3	1	0.009759232521973865
emissionprobs	12	3	H3k27ac	0	0.9955741101544962
emissionprobs	12	3	H3k27ac	1	0.00442588984550395
emissionprobs	12	4	H3k27me3	0	0.9971461739519237
emissionprobs	12	4	H3k27me3	1	0.002853826048076273
emissionprobs	12	5	H3k36me3	0	0.5338911661926711
emissionprobs	12	5	H3k36me3	1	0.46610883380732887
emissionprobs	12	6	H3k4me2	0	0.9986395206953298
emissionprobs	12	6	H3k4me2	1	0.0013604793046702738
emissionprobs	12	7	H3k4me3	0	0.9978029760207332
emissionprobs	12	7	H3k4me3	1	0.002197023979266825
emissionprobs	12	8	H3k79me2	0	0.9330294251524998
emissionprobs	12	8	H3k79me2	1	0.06697057484750027
emissionprobs	12	9	H3k9ac	0	0.984216289335508
emissionprobs	12	9	H3k9ac	1	0.015783710664492037
emissionprobs	13	0	H2afz	0	0.9871728032752444
emissionprobs	13	0	H2afz	1	0.012827196724755623
emissionprobs	13	1	H3k04me1	0	0.9979691257717422
emissionprobs	13	1	H3k04me1	1	0.0020308742282577133
emissionprobs	13	2	H3k09me3	0	0.9880103449402152
emissionprobs	13	2	H3k09me3	1	0.011989655059784683
emissionprobs	13	3	H3k27ac	0	0.9994590219659576
emissionprobs	13	3	H3k27ac	1	5.409780340423777E-4
emissionprobs	13	4	H3k27me3	0	0.725983485057444
emissionprobs	13	4	H3k27me3	1	0.2740165149425559
emissionprobs	13	5	H3k36me3	0	0.9998410343257084
emissionprobs	13	5	H3k36me3	1	1.5896567429175094E-4
emissionprobs	13	6	H3k4me2	0	0.9980616761069525
emissionprobs	13	6	H3k4me2	1	0.001938323893047525
emissionprobs	13	7	H3k4me3	0	0.9984635138951665
emissionprobs	13	7	H3k4me3	1	0.0015364861048335076
emissionprobs	13	8	H3k79me2	0	0.991410374107803
emissionprobs	13	8	H3k79me2	1	0.008589625892197137
emissionprobs	13	9	H3k9ac	0	0.9902557897258009
emissionprobs	13	9	H3k9ac	1	0.009744210274199163
emissionprobs	14	0	H2afz	0	0.9971034700446232
emissionprobs	14	0	H2afz	1	0.0028965299553767886
emissionprobs	14	1	H3k04me1	0	0.9995080866328832
emissionprobs	14	1	H3k04me1	1	4.919133671168883E-4
emissionprobs	14	2	H3k09me3	0	0.9973830848085278
emissionprobs	14	2	H3k09me3	1	0.0026169151914722235
emissionprobs	14	3	H3k27ac	0	0.999913224795427
emissionprobs	14	3	H3k27ac	1	8.677520457305962E-5
emissionprobs	14	4	H3k27me3	0	0.9961743020199673
emissionprobs	14	4	H3k27me3	1	0.0038256979800328087
emissionprobs	14	5	H3k36me3	0	0.9997804371900045
emissionprobs	14	5	H3k36me3	1	2.1956280999554435E-4
emissionprobs	14	6	H3k4me2	0	0.9997604758316203
emissionprobs	14	6	H3k4me2	1	2.3952416837969942E-4
emissionprobs	14	7	H3k4me3	0	0.9998616358889192
emissionprobs	14	7	H3k4me3	1	1.383641110807799E-4
emissionprobs	14	8	H3k79me2	0	0.9969481222849551
emissionprobs	14	8	H3k79me2	1	0.003051877715044791
emissionprobs	14	9	H3k9ac	0	0.9985950671083145
emissionprobs	14	9	H3k9ac	1	0.0014049328916854275
emissionprobs	15	0	H2afz	0	0.9405917681054646
emissionprobs	15	0	H2afz	1	0.059408231894535354
emissionprobs	15	1	H3k04me1	0	0.994831910694659
emissionprobs	15	1	H3k04me1	1	0.005168089305341063
emissionprobs	15	2	H3k09me3	0	0.7783829445889797
emissionprobs	15	2	H3k09me3	1	0.22161705541102025
emissionprobs	15	3	H3k27ac	0	0.9951214683643518
emissionprobs	15	3	H3k27ac	1	0.004878531635648262
emissionprobs	15	4	H3k27me3	0	0.9642646389251452
emissionprobs	15	4	H3k27me3	1	0.035735361074854734
emissionprobs	15	5	H3k36me3	0	0.9919290936339517
emissionprobs	15	5	H3k36me3	1	0.008070906366048363
emissionprobs	15	6	H3k4me2	0	0.9964475818614051
emissionprobs	15	6	H3k4me2	1	0.0035524181385948577
emissionprobs	15	7	H3k4me3	0	0.9878027775165281
emissionprobs	15	7	H3k4me3	1	0.012197222483471866
emissionprobs	15	8	H3k79me2	0	0.9674287548894882
emissionprobs	15	8	H3k79me2	1	0.03257124511051178
emissionprobs	15	9	H3k9ac	0	0.9684503130381131
emissionprobs	15	9	H3k9ac	1	0.03154968696188686
